crime_type,neighbourhood,year,month,count
Theft from Vehicle,Central Business District,2014,10,205
Theft from Vehicle,Central Business District,2014,5,190
Theft from Vehicle,Central Business District,2014,6,177
Theft from Vehicle,Central Business District,2014,4,177
Theft from Vehicle,Central Business District,2014,3,172
Theft from Vehicle,Central Business District,2014,1,144
Theft from Vehicle,Central Business District,2005,7,366
Theft from Vehicle,Central Business District,2005,5,355
Theft from Vehicle,Central Business District,2005,3,353
Theft from Vehicle,Central Business District,2005,6,345
Theft from Vehicle,Central Business District,2005,9,324
Theft from Vehicle,Central Business District,2005,8,305
Theft from Vehicle,Central Business District,2005,4,302
Theft from Vehicle,Central Business District,2005,12,299
Theft from Vehicle,Central Business District,2005,2,297
Theft from Vehicle,Central Business District,2005,1,296
Theft from Vehicle,Central Business District,2005,11,292
Theft from Vehicle,Central Business District,2005,10,246
Theft from Vehicle,Central Business District,2009,9,364
Theft from Vehicle,Central Business District,2009,2,325
Theft from Vehicle,Central Business District,2009,5,280
Theft from Vehicle,Central Business District,2009,3,280
Theft from Vehicle,Central Business District,2009,8,258
Theft from Vehicle,Central Business District,2009,10,241
Theft from Vehicle,Central Business District,2009,1,236
Theft from Vehicle,Central Business District,2009,7,230
Theft from Vehicle,Central Business District,2009,4,216
Theft from Vehicle,Central Business District,2009,11,208
Theft from Vehicle,Central Business District,2009,12,181
Theft from Vehicle,Central Business District,2009,6,174
Theft from Vehicle,Central Business District,2013,11,241
Theft from Vehicle,Central Business District,2013,8,227
Theft from Vehicle,Central Business District,2013,7,199
Theft from Vehicle,Central Business District,2013,3,194
Theft from Vehicle,Central Business District,2013,6,192
Theft from Vehicle,Central Business District,2013,4,191
Theft from Vehicle,Central Business District,2013,5,189
Theft from Vehicle,Central Business District,2013,10,178
Theft from Vehicle,Central Business District,2013,9,173
Theft from Vehicle,Central Business District,2013,12,154
Theft from Vehicle,Central Business District,2013,2,117
Theft from Vehicle,Central Business District,2013,1,84
Theft from Vehicle,Central Business District,2010,8,229
Theft from Vehicle,Central Business District,2010,7,209
Theft from Vehicle,Central Business District,2010,3,207
Theft from Vehicle,Central Business District,2010,12,188
Theft from Vehicle,Central Business District,2010,10,185
Theft from Vehicle,Central Business District,2010,9,178
Theft from Vehicle,Central Business District,2010,1,152
Theft from Vehicle,Central Business District,2010,5,145
Theft from Vehicle,Central Business District,2010,6,143
Theft from Vehicle,Central Business District,2010,4,139
Theft from Vehicle,Central Business District,2010,11,139
Theft from Vehicle,Central Business District,2010,2,138
Theft from Vehicle,Central Business District,2021,8,206
Theft from Vehicle,Central Business District,2021,9,197
Theft from Vehicle,Central Business District,2021,1,189
Theft from Vehicle,Central Business District,2021,11,174
Theft from Vehicle,Central Business District,2021,7,170
Theft from Vehicle,Central Business District,2021,10,167
Theft from Vehicle,Central Business District,2021,3,134
Theft from Vehicle,Central Business District,2021,2,133
Theft from Vehicle,Central Business District,2021,6,125
Theft from Vehicle,Central Business District,2021,4,114
Theft from Vehicle,Central Business District,2021,5,109
Theft from Vehicle,Central Business District,2012,1,192
Theft from Vehicle,Central Business District,2012,11,192
Theft from Vehicle,Central Business District,2012,2,191
Theft from Vehicle,Central Business District,2012,3,189
Theft from Vehicle,Central Business District,2012,8,155
Theft from Vehicle,Central Business District,2012,4,150
Theft from Vehicle,Central Business District,2012,6,117
Theft from Vehicle,Central Business District,2012,10,113
Theft from Vehicle,Central Business District,2012,5,112
Theft from Vehicle,Central Business District,2012,12,110
Theft from Vehicle,Central Business District,2012,9,108
Theft from Vehicle,Central Business District,2012,7,104
Theft from Vehicle,Central Business District,2011,7,168
Theft from Vehicle,Central Business District,2011,1,166
Theft from Vehicle,Central Business District,2011,2,161
Theft from Vehicle,Central Business District,2011,5,154
Theft from Vehicle,Central Business District,2011,8,146
Theft from Vehicle,Central Business District,2011,12,144
Theft from Vehicle,Central Business District,2011,3,140
Theft from Vehicle,Central Business District,2011,6,130
Theft from Vehicle,Central Business District,2011,11,128
Theft from Vehicle,Central Business District,2011,9,120
Theft from Vehicle,Central Business District,2011,4,117
Theft from Vehicle,Central Business District,2011,10,105
Theft from Vehicle,West End,2003,5,208
Theft from Vehicle,West End,2003,4,188
Theft from Vehicle,West End,2003,1,187
Theft from Vehicle,West End,2003,7,182
Theft from Vehicle,West End,2003,8,171
Theft from Vehicle,West End,2003,6,170
Theft from Vehicle,West End,2003,3,167
